Time Series,Detector Pair,AUC-PR
Daphnet/S09R01E2.test.csv@4.out,AE-AE,0.12179378143504727
Daphnet/S09R01E2.test.csv@4.out,CNN-AE,0.1358433115351115
Daphnet/S09R01E2.test.csv@4.out,CNN-CNN,0.15061940906878635
Daphnet/S09R01E2.test.csv@4.out,HBOS-AE,0.5595319014787422
Daphnet/S09R01E2.test.csv@4.out,HBOS-CNN,0.5781830070259039
Daphnet/S09R01E2.test.csv@4.out,HBOS-HBOS,0.6963350073118797
Daphnet/S09R01E2.test.csv@4.out,IFOREST-AE,0.3220181320674857
Daphnet/S09R01E2.test.csv@4.out,IFOREST-CNN,0.2033151859366221
Daphnet/S09R01E2.test.csv@4.out,IFOREST-HBOS,0.36999035197088037
Daphnet/S09R01E2.test.csv@4.out,IFOREST-IFOREST,0.3632746831665524
Daphnet/S09R01E2.test.csv@4.out,IFOREST1-AE,0.35102104789834104
Daphnet/S09R01E2.test.csv@4.out,IFOREST1-CNN,0.24469344882573013
Daphnet/S09R01E2.test.csv@4.out,IFOREST1-HBOS,0.46345694741084986
Daphnet/S09R01E2.test.csv@4.out,IFOREST1-IFOREST,0.35817193803825137
Daphnet/S09R01E2.test.csv@4.out,IFOREST1-IFOREST1,0.3798795757263524
Daphnet/S09R01E2.test.csv@4.out,LOF-AE,0.3251620305530828
Daphnet/S09R01E2.test.csv@4.out,LOF-CNN,0.18709804671937058
Daphnet/S09R01E2.test.csv@4.out,LOF-HBOS,0.7340286531014166
Daphnet/S09R01E2.test.csv@4.out,LOF-IFOREST,0.36361618352136343
Daphnet/S09R01E2.test.csv@4.out,LOF-IFOREST1,0.4041896268018846
Daphnet/S09R01E2.test.csv@4.out,LOF-LOF,0.561235134231115
Daphnet/S09R01E2.test.csv@4.out,LSTM-AE,0.13597711973621135
Daphnet/S09R01E2.test.csv@4.out,LSTM-CNN,0.14880100005208918
Daphnet/S09R01E2.test.csv@4.out,LSTM-HBOS,0.5680750965258409
Daphnet/S09R01E2.test.csv@4.out,LSTM-IFOREST,0.19612510289653245
Daphnet/S09R01E2.test.csv@4.out,LSTM-IFOREST1,0.2364453011001949
Daphnet/S09R01E2.test.csv@4.out,LSTM-LOF,0.18210429829524422
Daphnet/S09R01E2.test.csv@4.out,LSTM-LSTM,0.14991544881392288
Daphnet/S09R01E2.test.csv@4.out,MP-AE,0.12997399798460257
Daphnet/S09R01E2.test.csv@4.out,MP-CNN,0.1304804039467764
Daphnet/S09R01E2.test.csv@4.out,MP-HBOS,0.570089032965341
