Time Series,Detector Pair,AUC-PR
Dodgers/101-freeway-traffic.test.out,AE-AE,0.186334752566578
Dodgers/101-freeway-traffic.test.out,CNN-AE,0.189152921181113
Dodgers/101-freeway-traffic.test.out,CNN-CNN,0.143839462266553
Dodgers/101-freeway-traffic.test.out,HBOS-AE,0.0843780205577198
Dodgers/101-freeway-traffic.test.out,HBOS-CNN,0.0888751242280834
Dodgers/101-freeway-traffic.test.out,HBOS-HBOS,0.0797794672633392
Dodgers/101-freeway-traffic.test.out,IFOREST-AE,0.419861101978015
Dodgers/101-freeway-traffic.test.out,IFOREST-CNN,0.48788130651377
Dodgers/101-freeway-traffic.test.out,IFOREST-HBOS,0.122749856262472
Dodgers/101-freeway-traffic.test.out,IFOREST-IFOREST,0.56282884404336
Dodgers/101-freeway-traffic.test.out,IFOREST1-AE,0.17196615184963
Dodgers/101-freeway-traffic.test.out,IFOREST1-CNN,0.137187696402679
Dodgers/101-freeway-traffic.test.out,IFOREST1-HBOS,0.0717049989550242
Dodgers/101-freeway-traffic.test.out,IFOREST1-IFOREST,0.334265308106333
Dodgers/101-freeway-traffic.test.out,IFOREST1-IFOREST1,0.117829882003131
Dodgers/101-freeway-traffic.test.out,LOF-AE,0.234664497366648
Dodgers/101-freeway-traffic.test.out,LOF-CNN,0.189479114233766
Dodgers/101-freeway-traffic.test.out,LOF-HBOS,0.0930996542944356
Dodgers/101-freeway-traffic.test.out,LOF-IFOREST,0.572950958524804
Dodgers/101-freeway-traffic.test.out,LOF-IFOREST1,0.142361435269518
Dodgers/101-freeway-traffic.test.out,LOF-LOF,0.572448668145069
Dodgers/101-freeway-traffic.test.out,LSTM-AE,0.148953834571235
Dodgers/101-freeway-traffic.test.out,LSTM-CNN,0.115020373516353
Dodgers/101-freeway-traffic.test.out,LSTM-HBOS,0.0874077142862355
Dodgers/101-freeway-traffic.test.out,LSTM-IFOREST,0.398100310589147
Dodgers/101-freeway-traffic.test.out,LSTM-IFOREST1,0.099158931831465
Dodgers/101-freeway-traffic.test.out,LSTM-LOF,0.128352347001374
Dodgers/101-freeway-traffic.test.out,LSTM-LSTM,0.0914513447194016
Dodgers/101-freeway-traffic.test.out,MP-AE,0.265200384444325
Dodgers/101-freeway-traffic.test.out,MP-CNN,0.224214596631975
