Time Series,Detector Pair,AUC-PR
MGAB/3.test.out,AE-AE,0.004889048255283692
MGAB/3.test.out,CNN-AE,0.010880266295431033
MGAB/3.test.out,CNN-CNN,0.026115046858741595
MGAB/3.test.out,HBOS-AE,0.0034362597429306143
MGAB/3.test.out,HBOS-CNN,0.008067259343506775
MGAB/3.test.out,HBOS-HBOS,0.002920306108442395
MGAB/3.test.out,IFOREST-AE,0.00478769043611632
MGAB/3.test.out,IFOREST-CNN,0.010348905421588844
MGAB/3.test.out,IFOREST-HBOS,0.0033191946913060924
MGAB/3.test.out,IFOREST-IFOREST,0.003834075913595663
MGAB/3.test.out,IFOREST1-AE,0.004587838455477458
MGAB/3.test.out,IFOREST1-CNN,0.017369071155064062
MGAB/3.test.out,IFOREST1-HBOS,0.003186976603785204
MGAB/3.test.out,IFOREST1-IFOREST,0.003948824993951746
MGAB/3.test.out,IFOREST1-IFOREST1,0.0032631063667799393
MGAB/3.test.out,LOF-AE,0.20775300979806494
MGAB/3.test.out,LOF-CNN,0.2884553499651228
MGAB/3.test.out,LOF-HBOS,0.15669295996240376
MGAB/3.test.out,LOF-IFOREST,0.26576770886310896
MGAB/3.test.out,LOF-IFOREST1,0.0994090936702152
MGAB/3.test.out,LOF-LOF,0.5166733869727997
MGAB/3.test.out,LSTM-AE,0.01710922539287888
MGAB/3.test.out,LSTM-CNN,0.05227536568705464
MGAB/3.test.out,LSTM-HBOS,0.0156043932823415
MGAB/3.test.out,LSTM-IFOREST,0.045584953417930174
MGAB/3.test.out,LSTM-IFOREST1,0.037195291996575286
MGAB/3.test.out,LSTM-LOF,0.433808368982617
MGAB/3.test.out,LSTM-LSTM,0.06801203006336873
MGAB/3.test.out,MP-AE,0.10409175011504804
MGAB/3.test.out,MP-CNN,0.20948441767523848
MGAB/3.test.out,MP-HBOS,0.14620257229691566
MGAB/3.test.out,MP-IFOREST,0.27083953807535105
MGAB/3.test.out,MP-IFOREST1,0.09451163317603568
MGAB/3.test.out,MP-LOF,0.40724747807139555
