Time Series,Detector Pair,AUC-PR
MITDB/219.test.csv@1.out,AE-AE,0.43631258246224564
MITDB/219.test.csv@1.out,CNN-AE,0.41369727386742583
MITDB/219.test.csv@1.out,CNN-CNN,0.11351840782482825
MITDB/219.test.csv@1.out,HBOS-AE,0.24113633997017278
MITDB/219.test.csv@1.out,HBOS-CNN,0.140455185359771
MITDB/219.test.csv@1.out,HBOS-HBOS,0.14323337373101536
MITDB/219.test.csv@1.out,IFOREST-AE,0.28834561771795686
MITDB/219.test.csv@1.out,IFOREST-CNN,0.14211614065273956
MITDB/219.test.csv@1.out,IFOREST-HBOS,0.14368232752374127
MITDB/219.test.csv@1.out,IFOREST-IFOREST,0.14561871146193425
MITDB/219.test.csv@1.out,IFOREST1-AE,0.22029094209891653
MITDB/219.test.csv@1.out,IFOREST1-CNN,0.12518906481164813
MITDB/219.test.csv@1.out,IFOREST1-HBOS,0.1362724326040974
MITDB/219.test.csv@1.out,IFOREST1-IFOREST,0.13632641469819834
MITDB/219.test.csv@1.out,IFOREST1-IFOREST1,0.12565514870446326
MITDB/219.test.csv@1.out,LOF-AE,0.4411170658821097
MITDB/219.test.csv@1.out,LOF-CNN,0.12734488173995043
MITDB/219.test.csv@1.out,LOF-HBOS,0.1450021259837858
MITDB/219.test.csv@1.out,LOF-IFOREST,0.15144841064510717
MITDB/219.test.csv@1.out,LOF-IFOREST1,0.12863366540526414
MITDB/219.test.csv@1.out,LOF-LOF,0.14363349074516604
MITDB/219.test.csv@1.out,LSTM-AE,0.41316377154712963
MITDB/219.test.csv@1.out,LSTM-CNN,0.11729586011154709
MITDB/219.test.csv@1.out,LSTM-HBOS,0.1407096066357858
MITDB/219.test.csv@1.out,LSTM-IFOREST,0.14212811007863932
MITDB/219.test.csv@1.out,LSTM-IFOREST1,0.1260902171696083
MITDB/219.test.csv@1.out,LSTM-LOF,0.13021337460334662
MITDB/219.test.csv@1.out,LSTM-LSTM,0.11496859651148211
MITDB/219.test.csv@1.out,MP-AE,0.4025772937636024
MITDB/219.test.csv@1.out,MP-CNN,0.23155944727442107
MITDB/219.test.csv@1.out,MP-HBOS,0.175030266076655
MITDB/219.test.csv@1.out,MP-IFOREST,0.1882422167382454
MITDB/219.test.csv@1.out,MP-IFOREST1,0.15447509921069547
MITDB/219.test.csv@1.out,MP-LOF,0.24142661534984217
MITDB/219.test.csv@1.out,MP-LSTM,0.2318570249823329
MITDB/219.test.csv@1.out,MP-MP,0.24156872571386667
MITDB/219.test.csv@1.out,NORMA-AE,0.5810865128759781
MITDB/219.test.csv@1.out,NORMA-CNN,0.5557742795312705
MITDB/219.test.csv@1.out,NORMA-HBOS,0.3341069613652942
MITDB/219.test.csv@1.out,NORMA-IFOREST,0.40351007462443533
MITDB/219.test.csv@1.out,NORMA-IFOREST1,0.317873757027376
MITDB/219.test.csv@1.out,NORMA-LOF,0.5822638949093267
MITDB/219.test.csv@1.out,NORMA-LSTM,0.5544149508447017
MITDB/219.test.csv@1.out,NORMA-MP,0.5298414905808202
MITDB/219.test.csv@1.out,NORMA-NORMA,0.5850160083126905
MITDB/219.test.csv@1.out,OCSVM-AE,0.34686503341136177
MITDB/219.test.csv@1.out,OCSVM-CNN,0.17880325373271916
MITDB/219.test.csv@1.out,OCSVM-HBOS,0.1759794126465765
MITDB/219.test.csv@1.out,OCSVM-IFOREST,0.1957821871872541
MITDB/219.test.csv@1.out,OCSVM-IFOREST1,0.1431793609557874
MITDB/219.test.csv@1.out,OCSVM-LOF,0.22612749204082241
MITDB/219.test.csv@1.out,OCSVM-LSTM,0.18109707006270273
MITDB/219.test.csv@1.out,OCSVM-MP,0.260379715059632
MITDB/219.test.csv@1.out,OCSVM-NORMA,0.46158656553876487
MITDB/219.test.csv@1.out,OCSVM-OCSVM,0.21770050065016272
MITDB/219.test.csv@1.out,PCA-AE,0.2980149198151407
MITDB/219.test.csv@1.out,PCA-CNN,0.14283168383670802
MITDB/219.test.csv@1.out,PCA-HBOS,0.141907033265515
MITDB/219.test.csv@1.out,PCA-IFOREST,0.1467760527500726
MITDB/219.test.csv@1.out,PCA-IFOREST1,0.13228090950146387
MITDB/219.test.csv@1.out,PCA-LOF,0.15634601762760883
MITDB/219.test.csv@1.out,PCA-LSTM,0.14287765050556656
MITDB/219.test.csv@1.out,PCA-MP,0.18926173836780785
MITDB/219.test.csv@1.out,PCA-NORMA,0.41550299887248854
MITDB/219.test.csv@1.out,PCA-OCSVM,0.18878977059332436
MITDB/219.test.csv@1.out,PCA-PCA,0.14825839642677907
MITDB/219.test.csv@1.out,POLY-AE,0.18276497138837755
MITDB/219.test.csv@1.out,POLY-CNN,0.07837627804070212
MITDB/219.test.csv@1.out,POLY-HBOS,0.10836989126050761
MITDB/219.test.csv@1.out,POLY-IFOREST,0.10456512987662452
MITDB/219.test.csv@1.out,POLY-IFOREST1,0.1010457616595558
MITDB/219.test.csv@1.out,POLY-LOF,0.08224950780699762
MITDB/219.test.csv@1.out,POLY-LSTM,0.0782794108580022
MITDB/219.test.csv@1.out,POLY-MP,0.11186997734633468
MITDB/219.test.csv@1.out,POLY-NORMA,0.28000699382162997
MITDB/219.test.csv@1.out,POLY-OCSVM,0.10498728308445752
MITDB/219.test.csv@1.out,POLY-PCA,0.10238494797273258
MITDB/219.test.csv@1.out,POLY-POLY,0.07730940296777909
MITDB/213.test.csv@2.out,AE-AE,0.17839059618499725
MITDB/213.test.csv@2.out,CNN-AE,0.23110153789390125
MITDB/213.test.csv@2.out,CNN-CNN,0.2547110740868033
MITDB/213.test.csv@2.out,HBOS-AE,0.5540887801080285
MITDB/213.test.csv@2.out,HBOS-CNN,0.594442956173838
MITDB/213.test.csv@2.out,HBOS-HBOS,0.5960595046038842
MITDB/213.test.csv@2.out,IFOREST-AE,0.7026179595589319
MITDB/213.test.csv@2.out,IFOREST-CNN,0.7180527407691084
MITDB/213.test.csv@2.out,IFOREST-HBOS,0.7088026454442157
MITDB/213.test.csv@2.out,IFOREST-IFOREST,0.7595168468461981
MITDB/213.test.csv@2.out,IFOREST1-AE,0.47457544229475496
MITDB/213.test.csv@2.out,IFOREST1-CNN,0.4337744291340848
MITDB/213.test.csv@2.out,IFOREST1-HBOS,0.5920088204657186
MITDB/213.test.csv@2.out,IFOREST1-IFOREST,0.6522640575845555
MITDB/213.test.csv@2.out,IFOREST1-IFOREST1,0.4866571526129496
MITDB/213.test.csv@2.out,LOF-AE,0.1822709240842383
MITDB/213.test.csv@2.out,LOF-CNN,0.245414992159038
MITDB/213.test.csv@2.out,LOF-HBOS,0.5741399204520623
MITDB/213.test.csv@2.out,LOF-IFOREST,0.7435154826189554
MITDB/213.test.csv@2.out,LOF-IFOREST1,0.47615230492849125
MITDB/213.test.csv@2.out,LOF-LOF,0.19461496669608438
MITDB/213.test.csv@2.out,LSTM-AE,0.18285374642432337
MITDB/213.test.csv@2.out,LSTM-CNN,0.25565876226513534
MITDB/213.test.csv@2.out,LSTM-HBOS,0.5956648968060962
MITDB/213.test.csv@2.out,LSTM-IFOREST,0.7572479549954815
MITDB/213.test.csv@2.out,LSTM-IFOREST1,0.4878511718213345
MITDB/213.test.csv@2.out,LSTM-LOF,0.2104772471486355
MITDB/213.test.csv@2.out,LSTM-LSTM,0.2092305882696606
MITDB/213.test.csv@2.out,MP-AE,0.20895542415268947
MITDB/213.test.csv@2.out,MP-CNN,0.2760583020887968
MITDB/213.test.csv@2.out,MP-HBOS,0.6018731832423202
MITDB/213.test.csv@2.out,MP-IFOREST,0.7721722706862547
MITDB/213.test.csv@2.out,MP-IFOREST1,0.4961141844314426
MITDB/213.test.csv@2.out,MP-LOF,0.2284727800086255
MITDB/213.test.csv@2.out,MP-LSTM,0.2538468427675118
MITDB/213.test.csv@2.out,MP-MP,0.2570201861254547
MITDB/213.test.csv@2.out,NORMA-AE,0.589221839385932
MITDB/213.test.csv@2.out,NORMA-CNN,0.6025769936495265
MITDB/213.test.csv@2.out,NORMA-HBOS,0.7273752738465592
MITDB/213.test.csv@2.out,NORMA-IFOREST,0.8120843635696413
MITDB/213.test.csv@2.out,NORMA-IFOREST1,0.6280028992581086
MITDB/213.test.csv@2.out,NORMA-LOF,0.6427971673741893
MITDB/213.test.csv@2.out,NORMA-LSTM,0.7165230927903657
MITDB/213.test.csv@2.out,NORMA-MP,0.6588968036524365
MITDB/213.test.csv@2.out,NORMA-NORMA,0.7197902878678232
MITDB/213.test.csv@2.out,OCSVM-AE,0.22914511782714297
MITDB/213.test.csv@2.out,OCSVM-CNN,0.29420902788976927
MITDB/213.test.csv@2.out,OCSVM-HBOS,0.6028870730504267
