Time Series,Detector Pair,AUC-PR
NAB/NAB_data_Traffic_5.out,AE-AE,0.4906978177192963
NAB/NAB_data_Traffic_5.out,CNN-AE,0.2366899296636326
NAB/NAB_data_Traffic_5.out,CNN-CNN,0.10265778102890553
NAB/NAB_data_Traffic_5.out,HBOS-AE,0.7326370366234972
NAB/NAB_data_Traffic_5.out,HBOS-CNN,0.27012151520054173
NAB/NAB_data_Traffic_5.out,HBOS-HBOS,0.4784594533144843
NAB/NAB_data_Traffic_5.out,IFOREST-AE,0.7076883041752629
NAB/NAB_data_Traffic_5.out,IFOREST-CNN,0.2522651785021281
NAB/NAB_data_Traffic_5.out,IFOREST-HBOS,0.5218187096879313
NAB/NAB_data_Traffic_5.out,IFOREST-IFOREST,0.48725964097022273
NAB/NAB_data_Traffic_5.out,IFOREST1-AE,0.27648262371739424
NAB/NAB_data_Traffic_5.out,IFOREST1-CNN,0.11225890482118149
NAB/NAB_data_Traffic_5.out,IFOREST1-HBOS,0.28302306538544086
NAB/NAB_data_Traffic_5.out,IFOREST1-IFOREST,0.27829814026616145
NAB/NAB_data_Traffic_5.out,IFOREST1-IFOREST1,0.1269536899731528
NAB/NAB_data_Traffic_5.out,LOF-AE,0.6067788343646475
NAB/NAB_data_Traffic_5.out,LOF-CNN,0.23756005952317044
NAB/NAB_data_Traffic_5.out,LOF-HBOS,0.3709076139214209
NAB/NAB_data_Traffic_5.out,LOF-IFOREST,0.4362227894681024
NAB/NAB_data_Traffic_5.out,LOF-IFOREST1,0.25901993809311236
NAB/NAB_data_Traffic_5.out,LOF-LOF,0.2964596588859738
NAB/NAB_data_Traffic_5.out,LSTM-AE,0.23260562130937704
NAB/NAB_data_Traffic_5.out,LSTM-CNN,0.09880242679921139
NAB/NAB_data_Traffic_5.out,LSTM-HBOS,0.2694358967573938
NAB/NAB_data_Traffic_5.out,LSTM-IFOREST,0.25037465327083125
NAB/NAB_data_Traffic_5.out,LSTM-IFOREST1,0.10960992843669912
NAB/NAB_data_Traffic_5.out,LSTM-LOF,0.2354123714223241
NAB/NAB_data_Traffic_5.out,LSTM-LSTM,0.09863222787646092
NAB/NAB_data_Traffic_5.out,MP-AE,0.20793005555262417
NAB/NAB_data_Traffic_5.out,MP-CNN,0.07009055790967317
NAB/NAB_data_Traffic_5.out,MP-HBOS,0.30949612555638745
NAB/NAB_data_Traffic_5.out,MP-IFOREST,0.29018628016294473
NAB/NAB_data_Traffic_5.out,MP-IFOREST1,0.07582259311068822
NAB/NAB_data_Traffic_5.out,MP-LOF,0.30579468283866357
NAB/NAB_data_Traffic_5.out,MP-LSTM,0.06655186757983785
NAB/NAB_data_Traffic_5.out,MP-MP,0.06055913979078645
NAB/NAB_data_Traffic_5.out,NORMA-AE,0.1819760116684037
