Time Series,Detector Pair,AUC-PR
YAHOO/Yahoo_A1real_18_data.out,AE-AE,0.05655292419998303
YAHOO/Yahoo_A1real_18_data.out,CNN-AE,0.3611111111111111
YAHOO/Yahoo_A1real_18_data.out,CNN-CNN,0.26011904761904764
YAHOO/Yahoo_A1real_18_data.out,HBOS-AE,0.07368800789853422
YAHOO/Yahoo_A1real_18_data.out,HBOS-CNN,1.0
YAHOO/Yahoo_A1real_18_data.out,HBOS-HBOS,0.08382352941176471
YAHOO/Yahoo_A1real_18_data.out,IFOREST-AE,0.08179455992923484
YAHOO/Yahoo_A1real_18_data.out,IFOREST-CNN,0.9027777777777777
YAHOO/Yahoo_A1real_18_data.out,IFOREST-HBOS,0.13560606060606062
YAHOO/Yahoo_A1real_18_data.out,IFOREST-IFOREST,0.19444444444444442
YAHOO/Yahoo_A1real_18_data.out,IFOREST1-AE,0.6805555555555556
YAHOO/Yahoo_A1real_18_data.out,IFOREST1-CNN,1.0
YAHOO/Yahoo_A1real_18_data.out,IFOREST1-HBOS,1.0
YAHOO/Yahoo_A1real_18_data.out,IFOREST1-IFOREST,1.0
YAHOO/Yahoo_A1real_18_data.out,IFOREST1-IFOREST1,1.0
YAHOO/Yahoo_A1real_18_data.out,LOF-AE,0.07733939535410123
YAHOO/Yahoo_A1real_18_data.out,LOF-CNN,1.0
YAHOO/Yahoo_A1real_18_data.out,LOF-HBOS,0.0902046783625731
YAHOO/Yahoo_A1real_18_data.out,LOF-IFOREST,0.19285714285714284
YAHOO/Yahoo_A1real_18_data.out,LOF-IFOREST1,1.0
YAHOO/Yahoo_A1real_18_data.out,LOF-LOF,0.16233766233766234
YAHOO/Yahoo_A1real_18_data.out,LSTM-AE,0.4583333333333333
YAHOO/Yahoo_A1real_18_data.out,LSTM-CNN,0.30000000000000004
YAHOO/Yahoo_A1real_18_data.out,LSTM-HBOS,1.0
YAHOO/Yahoo_A1real_18_data.out,LSTM-IFOREST,1.0
YAHOO/Yahoo_A1real_18_data.out,LSTM-IFOREST1,1.0
YAHOO/Yahoo_A1real_18_data.out,LSTM-LOF,1.0
YAHOO/Yahoo_A1real_18_data.out,LSTM-LSTM,0.3666666666666667
YAHOO/Yahoo_A1real_18_data.out,MP-AE,0.08666437335167987
YAHOO/Yahoo_A1real_18_data.out,MP-CNN,0.46111111111111114
YAHOO/Yahoo_A1real_18_data.out,MP-HBOS,0.10833333333333334
YAHOO/Yahoo_A1real_18_data.out,MP-IFOREST,0.2007936507936508
YAHOO/Yahoo_A1real_18_data.out,MP-IFOREST1,1.0
YAHOO/Yahoo_A1real_18_data.out,MP-LOF,0.11538461538461539
YAHOO/Yahoo_A1real_18_data.out,MP-LSTM,1.0
YAHOO/Yahoo_A1real_18_data.out,MP-MP,0.11904761904761905
YAHOO/Yahoo_A1real_18_data.out,NORMA-AE,0.16125541125541126
YAHOO/Yahoo_A1real_18_data.out,NORMA-CNN,0.5138888888888888
YAHOO/Yahoo_A1real_18_data.out,NORMA-HBOS,1.0
YAHOO/Yahoo_A1real_18_data.out,NORMA-IFOREST,1.0
YAHOO/Yahoo_A1real_18_data.out,NORMA-IFOREST1,1.0
YAHOO/Yahoo_A1real_18_data.out,NORMA-LOF,0.9583333333333333
YAHOO/Yahoo_A1real_18_data.out,NORMA-LSTM,1.0
YAHOO/Yahoo_A1real_18_data.out,NORMA-MP,0.8472222222222221
YAHOO/Yahoo_A1real_18_data.out,NORMA-NORMA,0.9583333333333333
YAHOO/Yahoo_A1real_18_data.out,OCSVM-AE,0.014989759344598055
YAHOO/Yahoo_A1real_18_data.out,OCSVM-CNN,0.05538594580132247
YAHOO/Yahoo_A1real_18_data.out,OCSVM-HBOS,0.06935817805383024
YAHOO/Yahoo_A1real_18_data.out,OCSVM-IFOREST,0.04176587301587302
YAHOO/Yahoo_A1real_18_data.out,OCSVM-IFOREST1,0.23333333333333334
YAHOO/Yahoo_A1real_18_data.out,OCSVM-LOF,0.06868022328548645
YAHOO/Yahoo_A1real_18_data.out,OCSVM-LSTM,0.06979405034324943
YAHOO/Yahoo_A1real_18_data.out,OCSVM-MP,0.035450935904707895
YAHOO/Yahoo_A1real_18_data.out,OCSVM-NORMA,0.12157287157287158
YAHOO/Yahoo_A1real_18_data.out,OCSVM-OCSVM,0.0012415593659625278
YAHOO/Yahoo_A1real_18_data.out,PCA-AE,0.07466266676792993
YAHOO/Yahoo_A1real_18_data.out,PCA-CNN,1.0
YAHOO/Yahoo_A1real_18_data.out,PCA-HBOS,0.09722222222222221
YAHOO/Yahoo_A1real_18_data.out,PCA-IFOREST,0.13863636363636364
YAHOO/Yahoo_A1real_18_data.out,PCA-IFOREST1,1.0
YAHOO/Yahoo_A1real_18_data.out,PCA-LOF,0.09183006535947713
YAHOO/Yahoo_A1real_18_data.out,PCA-LSTM,1.0
YAHOO/Yahoo_A1real_18_data.out,PCA-MP,0.1388888888888889
YAHOO/Yahoo_A1real_18_data.out,PCA-NORMA,1.0
YAHOO/Yahoo_A1real_18_data.out,PCA-OCSVM,0.06485852311939269
YAHOO/Yahoo_A1real_18_data.out,PCA-PCA,0.09885620915032681
YAHOO/Yahoo_A1real_18_data.out,POLY-AE,0.10902777777777778
YAHOO/Yahoo_A1real_18_data.out,POLY-CNN,0.5138888888888888
YAHOO/Yahoo_A1real_18_data.out,POLY-HBOS,0.1527777777777778
YAHOO/Yahoo_A1real_18_data.out,POLY-IFOREST,0.22440476190476188
YAHOO/Yahoo_A1real_18_data.out,POLY-IFOREST1,1.0
YAHOO/Yahoo_A1real_18_data.out,POLY-LOF,0.9166666666666667
YAHOO/Yahoo_A1real_18_data.out,POLY-LSTM,1.0
YAHOO/Yahoo_A1real_18_data.out,POLY-MP,0.33333333333333337
YAHOO/Yahoo_A1real_18_data.out,POLY-NORMA,0.9583333333333333
YAHOO/Yahoo_A1real_18_data.out,POLY-OCSVM,0.009703947368421053
YAHOO/Yahoo_A1real_18_data.out,POLY-PCA,0.16574074074074074
YAHOO/Yahoo_A1real_18_data.out,POLY-POLY,0.575
YAHOO/YahooA4Benchmark-TS23_data.out,AE-AE,0.08330392295540869
YAHOO/YahooA4Benchmark-TS23_data.out,CNN-AE,0.7749999999999999
YAHOO/YahooA4Benchmark-TS23_data.out,CNN-CNN,1.0
YAHOO/YahooA4Benchmark-TS23_data.out,HBOS-AE,0.014782030951440433
YAHOO/YahooA4Benchmark-TS23_data.out,HBOS-CNN,0.27447940762035355
YAHOO/YahooA4Benchmark-TS23_data.out,HBOS-HBOS,0.002296568874933006
YAHOO/YahooA4Benchmark-TS23_data.out,IFOREST-AE,0.027643913085193473
YAHOO/YahooA4Benchmark-TS23_data.out,IFOREST-CNN,0.5676087801087801
YAHOO/YahooA4Benchmark-TS23_data.out,IFOREST-HBOS,0.0022833062395012276
YAHOO/YahooA4Benchmark-TS23_data.out,IFOREST-IFOREST,0.002306854956341178
YAHOO/YahooA4Benchmark-TS23_data.out,IFOREST1-AE,0.3463661156095367
YAHOO/YahooA4Benchmark-TS23_data.out,IFOREST1-CNN,1.0
YAHOO/YahooA4Benchmark-TS23_data.out,IFOREST1-HBOS,0.00526715050812929
YAHOO/YahooA4Benchmark-TS23_data.out,IFOREST1-IFOREST,0.007391410868796437
